trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
5,1054,54.7,7,0,3,0.027514231,0.051897533,0.24137931,0
3,108,27.36,5,2,4,0.12962963,0.253333333,0.357142857,0
3,1516,62.16,3,10,5,0.008575198,0.041002639,0.230769231,0
6,1791,92.31,8,4,4,0.016192071,0.051541039,0.275862069,0
5,430,81.53,3,7,2,0.062790698,0.189604651,0.111111111,0
1,770,11.09,11,5,2,0.033766234,0.014402597,0.423076923,1
3,294,55.63,2,7,1,0.037414966,0.189217687,0.181818182,0
2,1545,22.8,0,8,4,0.006472492,0.014757282,0,0
6,962,65.44,7,0,2,0.028066528,0.068024948,0.259259259,0
2,725,41.08,10,2,4,0.037241379,0.056662069,0.37037037,0
5,1533,84.73,4,2,4,0.010437052,0.055270711,0.25,0
4,764,28.98,8,0,0,0.02617801,0.037931937,0.4,0
4,1736,5.46,4,10,4,0.005760369,0.003145161,0.4,0
4,1705,16.96,7,4,4,0.015835777,0.009947214,0.259259259,0
6,1659,52.53,2,1,4,0.012658228,0.031663653,0.095238095,0
1,870,32.45,3,1,5,0.006896552,0.037298851,0.5,0
3,1295,42.9,11,10,0,0.016988417,0.033127413,0.5,0
6,590,79.84,6,10,4,0.040677966,0.135322034,0.25,0
3,139,59,8,5,5,0.028776978,0.424460432,2,0
3,1724,25.4,7,4,3,0.011020882,0.014733179,0.368421053,0
3,1691,59.61,1,2,2,0.008870491,0.035251331,0.066666667,0
4,1505,2.7,6,4,0,0.003322259,0.00179402,1.2,0
4,934,98.54,0,5,2,0.00856531,0.105503212,0,0
2,125,25.5,5,6,2,0.192,0.204,0.208333333,0
1,71,78.91,1,4,4,0.014084507,1.111408451,1,0
5,816,81.54,8,7,1,0.011029412,0.099926471,0.888888889,0
3,1503,23,10,3,1,0.019294744,0.015302728,0.344827586,0
4,329,56.65,10,2,5,0.063829787,0.17218845,0.476190476,0
6,1629,40.42,6,7,4,0.013505218,0.024812769,0.272727273,0
5,1435,91.96,4,3,3,0.013240418,0.064083624,0.210526316,0
6,314,48.54,6,1,1,0.076433121,0.154585987,0.25,0
5,285,6.23,5,6,2,0.105263158,0.021859649,0.166666667,0
5,891,78.96,2,10,2,0.028058361,0.088619529,0.08,0
2,1355,48.87,2,0,4,0.005166052,0.036066421,0.285714286,0
2,866,39.38,10,9,1,0.004618938,0.045473441,2.5,0
2,335,14.4,0,9,5,0.014925373,0.042985075,0,0
5,834,80.64,0,10,3,0.01558753,0.096690647,0,0
2,1397,62.59,7,9,4,0.01789549,0.04480315,0.28,1
5,1561,91.75,7,6,2,0.012171685,0.058776425,0.368421053,0
4,847,22.88,4,5,2,0.010625738,0.027012987,0.444444444,0
1,1520,41.88,6,8,2,0.001315789,0.027552632,3,0
2,622,60.75,11,5,4,0.012861736,0.09766881,1.375,0
4,1012,59.9,2,3,2,0.014822134,0.059189723,0.133333333,0
2,1451,23.1,3,9,3,0.00137836,0.015920055,1.5,0
2,401,80.86,0,1,0,0.019950125,0.201645885,0,0
6,960,93.09,7,2,3,0.010416667,0.09696875,0.7,0
6,1433,72.19,7,7,0,0.017445918,0.050376832,0.28,0
6,1424,66.9,9,8,3,0.01755618,0.046980337,0.36,0
6,1820,54.64,0,0,1,0.007142857,0.030021978,0,0
1,16,32.29,2,0,5,1.5,2.018125,0.083333333,0
4,617,90.73,0,0,5,0.001620746,0.147050243,0,0
3,1593,25.53,2,2,2,0.017576899,0.016026365,0.071428571,0
1,608,85.05,3,5,2,0.013157895,0.139884868,0.375,0
