Artis,Judul,Lirik
Niki,Ocean and Engines,"Saturday sunset
We're lying on my bed with five hours to go

Fingers entwined and so were our minds
Cryin', ""I don't want you to go""

You wiped away your tears
But not fears under the still and clear indigo
You said, ""Baby, don't cry, we'll be fine
You're the one thing I swear I can't outgrow""

My mother said the younger me was a pretending prodigy
Well, nothing then, much has changed
'Cause while you're wolfin' down liquor
My soul, it gets sicker
But I'm stickin' to the screenplay
Gotta say I'm okay, but answer this, babe
How is it now that somehow you're a strangеr?
You were mine just yеsterday

I pray the block in my airway dissipates
And instead deters your airplane's way

But heaven denied
Destiny decried
Something beautiful died
Too soon

But I'm letting go
I'm givin' up the ghost
But don't get me wrong
I'll always love you, that's why
I wrote you this very last song
I guess this is where we say goodbye
I know I'll be alright
Someday I'll be fine
But just not tonight (ooh)

Plungin' into all kinds of diversions
Like blush wine and sonorous soirées
But even with gin and surgin' adrenaline
I see you're all that can intoxicate

Oceans and engines
You're skilled at infringin' on great love affairs
'Cause now my heart's home
All I've known is long gone and ten thousand miles away

And I'm not okay

But I'm letting go
I'm giving up the ghost
But don't get me wrong
I'll always love you, that's why
I wrote you this very last song
I guess this is where we say goodbye
I know I'll be alright
But just not

Tonight was the first time I stared into seas
Of beguiling sepia two years ago
And the first time I learned real world superpowers lived in three words
They revitalize my fraying bones, oh
Now what do you do when your pillar crumbled down
You've lost all solid ground
Both dreams and demons drowned
And this void's all you've found
And doubts light it aglow?

I have so many questions
But I'm pouring them into the ocean
And I'm starting up my engine

And I'm letting go
I'm givin' up your ghost
It's come to a close
I marked the end with this last song I wrote
I'm letting go
This is the last falsetto
I'll ever sing to you
My great lost love"
Taylor Swift ,August ,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
'Cause you were never mine, never mine

But do you remember?
Remember when I pulled up and said, ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""

Remember when I pulled up and said, ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (for the hope of it all)

For the hope of it all
For the hope of it all
(For the hope of it all)
(For the hope of it all)"
One Direction ,Steal My Girl ,"She's been my queen since we were sixteen
We want the same things, we dream the same dreams, alright
(Alright)

I got it all 'cause she is the one
Her mum calls me love, her dad calls me son, alright
(Alright)

I know, I know, I know for sure

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Na na na na na na (oh yeah)
Na na na na na na (alright)
Na na na na na na
Na na

She belongs to me

Kisses that queen, her walk is so mean
And every jaw drops when she's in those jeans, alright
(Alright)

I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn, alright
(Alright)

But I know, I know, I know for sure

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Na na na na na na (oh yeah)
Na na na na na na (alright)
Na na na na na na
Na na na na na na

She knows, she knows that I never let her down before
She knows, she knows

That I'm never gonna let another take her love from me now

Everybody wants to steal my girl
Everybody wants to take her love away
Couple billion in the whole wide world
Well, find another one 'cause she belongs to me

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Na na na na na na (oh yeah)
(Alright, yeah)
Na na na na na na (alright)
Na na na na na na
Na na

She belongs to me

Na na na na na na ([oh yeah)
(She belongs to me, yeah)
Na na na na na na (alright)
Na na na na na na

She belongs to me"
The 1975,Robbers ,"She had a face straight outta magazine
God only knows but you'll never leave her
Her balaclava is starting to chafe
And when she gets his gun he's begging, ""Babe, stay, stay, stay, stay, stay.""

I'll give you one more time
We'll give you one more fight
Said one more lie
Will I know you

Now if you never shoot, you'll never know
And if you never eat, you'll never grow
You've got a pretty kind of dirty face
And when she's leaving your home she's begging you, ""Stay, stay, stay, stay, stay.""

I'll give you one more time
We'll give you one more fight
Said one more line
Be a riot, cause I know you

Well, now that you've got your gun
It's much harder now the police have come
Now I'll shoot him if it's what you ask
But if you just take off your mask
You'd find out everything's gone wrong.

Now everybody's dead
And they're driving past my old school
He's got his gun, he's got his suit on
She says, ""Babe, you look so cool, you look so cool, you look so coo-o-o-oo-oo-ool.
You look so cool, you look so cool, you look so coo-o-o-oo-oo-ool."""
Rex Orange County,Pluto Projector,"[Verse 1]
The great protector
Is that what I'm supposed to be?
What if all this counts for nothing
Everything I thought I'd be?
What if by the time I realize
It's too far behind to see?
Seventy-mil projector
I can show you everything, yeah
And we're on our way to glory
Where the show won't ever end
And the encore lasts forever
And it's time we're due to spend

[Verse 2]
Spending the years together
Growing older every day (Every day)
I feel at home when I'm around you
And I'll gladly say again
I hope the encore lasts forever
Now there's time for us to spend
And it's sublime with you, my friend
This right here still feels like a honeymoon
When you say my name, nothing's changed
I'm still a boy inside my thoughts
Am I meant to understand my faults?

[Chorus]
I don't think so
I don't think I'm meant to understand myself
Maybe you do
And that's good for you
Maybe in time
Maybe one day
I'll do the same
(I'll do the same
I'll do the same
I'll do the same)

[Bridge]
I'll do the same as you
I'll try and hold it up
Soon I hope
Or as soon as I'm old enough
(Old enough to understand
Old enough to understand)

[Outro]
Stay forever, you know more than anyone (Yeah, whoa)
And it's you that knows my darkness
And you know my bedroom needs
You could blast me and my secrets
But there's probably just no need"
Rex Orange County,AMAZING,"[Verse 1]
There's no way to time it
And where you may find it
Is unknown
Until then, you're a loner
So you see her (See her)
She's over (Over)
In the corner (Corner)
And you can't (You can't)
Ignore her (Ignore her)
There must be a reason
You see it, believe it now

[Pre-Chorus]
Search the definition of ""shame""
I'm sure you'll see my face
Who's gonna save me now?
I hope it's you, my babe

[Chorus]
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I don't mind, no
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I don't mind

[Verse 2]
I see her
She's over in the corner
And I can't ignore her
I hope there's a reason
To see it, I see it (Now, oh)

[Instrumental Break]

[Pre-Chorus]
Search the definition of ""afraid""
And I'm sure you'll see my face
Who's gonna save me now?
I hope it's you, my babe

[Chorus]
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I wouldn't mind
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
Oh, I don't mind, that's alright

[Outro]
Yeah"
Rex Orange County,SHADE,"[Intro]
(Two, three, four)

[Verse 1]
I was closing all the blinds
Just so you could sleep the night through
I was staying by your side
Just so I knew you were okay
And I was opening the door
Just to see if you would walk through
I started painting all the walls
Just to see if you liked the shade

[Chorus]
I would love just to be stuck to your side
Not with anybody else, anybody else
It's enough just to keep us occupied
Please don't go
I would love just to be stuck to your side
Not with anybody else, anybody else (Don't go)
It's enough just to keep us occupied (Please don't go)

[Verse 2]
You were holding out your hands
Hoping I'd be there to hold to
I went out to Amsterdam
Just so I could givе you some space
But I kept opеning my door
Just to see if you would walk through
But now I'm painting all my walls
Just to see if you like the shade

[Chorus]
I would love just to be stuck to your side
Not with anybody else, anybody else
It's enough just to keep us occupied
Please don't go
I would love just to be stuck to your side
Not with anybody else, anybody else (Don't go)
It's enough just to keep us occupied (Please don't go)

[Outro]
Not with anybody else, anybody else
Please don't go
Not with anybody else, anybody else, no
Please don't go"
Rex Orange County,Uno,"[Intro]
Yeah, I don't know where to start
How do you admit that you're falling apart?
I mean, how will I admit that I'm falling apart?
My mother's gonna worry but I'm fine in my heart
I've lived the words that I've said
And I live with a voice that tends to tell me that I'm shit in my head
Well maybe I should fuck it and be happy instead
I should just say ""fuck it and be happy instead"", right? Right

[Verse 1]
'Cause there's a lot of people tryin' to tell me how to deal with myself
But I'm not gonna listen if you mention my health
I don't care, don't tell me and don't text me
'Cause that kind of shit upsets me, just kind of affects me

[Pre-Chorus]
And it's bringing me down, and I'm not gonna lie
These days I prefer to just not be outside
And these days I just end up spending all of my time
With my girlfriend, but to be honest, I think that's alright

[Chorus]
'Cause time keeps rollin' and I'm just makin' songs
(I'm doing my best, still find myself stressed)
And I'm no longer sure where I belong
(I'm starting to rust, don't know who to trust)
(Don't trust anyone. Not even me.)

[Verse 2]
Some people concentrate on style too much
But I think I just force myself to smile too much
And that should soon end for the best
I wanna live my life with no stress
Love life and feel blessed, like
It's kind of funny on the inside
I'm tryin' to be a man, but really I'm just a little child, shit
And that's pretty much it, yeah, that's pretty much it
(Is there anything else?)

[Verse 3]
Oh yeah
My jaw hurts a lot because I grind it with stress (Uh-huh?)
I was an idiot recently and lost a lot of my friends (Aw)
Nothing brings me joy and nothing makes me smile
Being at school makes me aware of how I haven't been myself in awhile (Oh)
And I wonder what it was like to be 11
Wonder if there's such a thing as life after death, such a thing as heaven (Why?)
And every now and then I think about the fact that I'd become a legend if I died at 27"
Rex Orange County,Untitled,"I make enough mistakes
And it feels like she's the only one that hears the things I say
So if for any reason there's some miscommunication or I'm lying to her face
My immaturity and habits getting in the way
'Cause I can barely breathe and I don't know how I'll explain myself this time
Wish it wasn't a case of this time
But why can't I be any other boy
That doesn't need a hand in love?
Someone that I would trust
But how did I fail
To give you all the love that you deserve?
When you're the only thing that's worth what life is worth
And I don't mind if you hate me
'Cause, baby, if I were you, I would probably hate me too
I said that I don't mind if you hate me
'Cause, baby, if I were you, I would probably hate me too"
Rex Orange County,Can i Open a window,"[Chorus: Rex Orange County]
Can I open a window?
Can somebody open the door?
There's so many reasons
I can barely take it anymore

[Verse 1: Rex Orange County]
Stuck here and I never seem to get away, but I'll hang on
Seasons change, but you don't ever, oh
Oh, soon as I can see your face, I'm fine I'm sure
I'm tryna find a way to get out

[Chorus: Rex Orange County]
So can I open a window?
Can somebody open the door?
There's so many reasons
I can barely take it anymore

[Verse 2: Rex Orange County]
Fuck this, I might leave the people tellin' me what I should do
They want change, but you don't еver, oh
Oh, tryin' to ignore the thought of wanting to
But еvery single time that I do, I'm like, um

[Chorus: Rex Orange County]
Could I open a window?
Can somebody open the door?
There's so many reasons
I can barely take it anymore, no

[Verse 3: Tyler, The Creator]
Yeah, so what the fuck?
Niggas feelin' stuck, really feelin' stuck
Like the middle car on freeway pile up with semi-trucks
Open door, but you can't
Try to run, but you pant
Out of breath, you can't vent
'Cause the AC actin' up
Nah, really, if somethin' feelin' dirty to me
At the roots like a tree, see, I just up and I leave
It ain't pertainin' to me, I don't engage, I don't care
They like, ""You get it?"" I'm like, ""Yeah,"" and get the fuck out of here
See, I concur, I'm modest, I'm Tyler, I'm honest
I never bite my tongue, it's for the better, I promise
You stuck, then move, because I'm running, like sinus
I knows, they quiet like that last E in ""silence""

[Outro: Rex Orange County]
There's so many reasons
I can barely take it anymore
No"
