Date,Sewa,Jual
2012-1,95.84,91.86
2021-2,100.36,98.56
2012-3,101.64,101.37
2012-4,102.16,108.21
2013-1,102.47,113.15
2013-2,103.18,124.33
2013-3,104.89,134.25
2013-4,109.47,137.51
2014-1,115.88,127.7
2014-2,147.29,126.59
2014-3,157.76,127.63
2014-4,172.85,127.16
2015-1,167.23,135.66
2015-2,192.35,137.06
2015-3,207.09,137.96
2015-4,205.8,136.41
2016-1,200.19,135.53
2016-2,190.27,135.15
2016-3,188.04,133.87
2016-4,188.04,133.89
2017-1,188.26,133.74
2017-2,188.71,134.03
2017-3,194.33,134.39
2017-4,188.2,134.08
2018-1,192.51,133.76
2018-2,187.71,134.08
2018-3,187.24,134.49
2018-4,188.62,134.54
2019-1,188.41,134.69
