time,total load actual,price actual
2015-01-01 00:00:00+01:00,25385,65.41
2015-01-01 01:00:00+01:00,24382,64.92
2015-01-01 02:00:00+01:00,22734,64.48
2015-01-01 03:00:00+01:00,21286,59.32
2015-01-01 04:00:00+01:00,20264,56.04
2015-01-01 05:00:00+01:00,19905,53.63
2015-01-01 06:00:00+01:00,20010,51.73
2015-01-01 07:00:00+01:00,20377,51.43
2015-01-01 08:00:00+01:00,20094,48.98
2015-01-01 09:00:00+01:00,20637,54.2
2015-01-01 10:00:00+01:00,22250,58.94
2015-01-01 11:00:00+01:00,23547,59.86
2015-01-01 12:00:00+01:00,24133,60.12
2015-01-01 13:00:00+01:00,24713,62.05
2015-01-01 14:00:00+01:00,24672,62.06
2015-01-01 15:00:00+01:00,23528,59.76
2015-01-01 16:00:00+01:00,23118,61.18
2015-01-01 17:00:00+01:00,23606,64.74
2015-01-01 18:00:00+01:00,26447,74.26
2015-01-01 19:00:00+01:00,28020,74.24
2015-01-01 20:00:00+01:00,29014,75.64
2015-01-01 21:00:00+01:00,29571,73.92
2015-01-01 22:00:00+01:00,29031,70.53
2015-01-01 23:00:00+01:00,26798,64.13
2015-01-02 00:00:00+01:00,27070,64.02
2015-01-02 01:00:00+01:00,24935,58.46
2015-01-02 02:00:00+01:00,23214,54.7
2015-01-02 03:00:00+01:00,22540,54.91
2015-01-02 04:00:00+01:00,22096,53.07
2015-01-02 05:00:00+01:00,22066,54.23
2015-01-02 06:00:00+01:00,22275,58.22
2015-01-02 07:00:00+01:00,23025,67.55
2015-01-02 08:00:00+01:00,23699,70.33
2015-01-02 09:00:00+01:00,25834,71.26
2015-01-02 10:00:00+01:00,27927,75.86
2015-01-02 11:00:00+01:00,29072,73.65
2015-01-02 12:00:00+01:00,29071,74.19
2015-01-02 13:00:00+01:00,29439,71.51
2015-01-02 14:00:00+01:00,29241,71.04
2015-01-02 15:00:00+01:00,27973,71.24
2015-01-02 16:00:00+01:00,27320,70.64
2015-01-02 17:00:00+01:00,27157,72.85
2015-01-02 18:00:00+01:00,29045,82.55
2015-01-02 19:00:00+01:00,31967,83.33
2015-01-02 20:00:00+01:00,33266,83.23
2015-01-02 21:00:00+01:00,33668,79.06
2015-01-02 22:00:00+01:00,32426,76.2
2015-01-02 23:00:00+01:00,29705,71.75
2015-01-03 00:00:00+01:00,25564,66.82
2015-01-03 01:00:00+01:00,23584,63.35
2015-01-03 02:00:00+01:00,22194,58.79
2015-01-03 03:00:00+01:00,21296,57.44
2015-01-03 04:00:00+01:00,21145,55.29
2015-01-03 05:00:00+01:00,21316,56.22
2015-01-03 06:00:00+01:00,21674,58.13
2015-01-03 07:00:00+01:00,22127,62.06
2015-01-03 08:00:00+01:00,22756,67.36
2015-01-03 09:00:00+01:00,24654,69.21
2015-01-03 10:00:00+01:00,26454,70.35
2015-01-03 11:00:00+01:00,26959,68.77
2015-01-03 12:00:00+01:00,26716,68.82
2015-01-03 13:00:00+01:00,26802,68.23
2015-01-03 14:00:00+01:00,26416,67.97
2015-01-03 15:00:00+01:00,25362,62.76
2015-01-03 16:00:00+01:00,24770,62.03
2015-01-03 17:00:00+01:00,24501,66.69
2015-01-03 18:00:00+01:00,24992,71.5
2015-01-03 19:00:00+01:00,27964,72.14
2015-01-03 20:00:00+01:00,29694,72.45
2015-01-03 21:00:00+01:00,29874,72.86
2015-01-03 22:00:00+01:00,28979,70.1
2015-01-03 23:00:00+01:00,26863,67.62
2015-01-04 00:00:00+01:00,25254,55.22
2015-01-04 01:00:00+01:00,23620,50.54
2015-01-04 02:00:00+01:00,22606,48.68
2015-01-04 03:00:00+01:00,22191,48.02
2015-01-04 04:00:00+01:00,21929,47.06
2015-01-04 05:00:00+01:00,22195,46.79
2015-01-04 06:00:00+01:00,24035,47.63
2015-01-04 07:00:00+01:00,26807,47.44
2015-01-04 08:00:00+01:00,28316,50.84
2015-01-04 09:00:00+01:00,29871,54.84
2015-01-04 10:00:00+01:00,30585,59.95
2015-01-04 11:00:00+01:00,30772,59.35
2015-01-04 12:00:00+01:00,30685,57.03
2015-01-04 13:00:00+01:00,30429,59.22
2015-01-04 14:00:00+01:00,28741,58.56
2015-01-04 15:00:00+01:00,28249,52.07
2015-01-04 16:00:00+01:00,28105,52.15
2015-01-04 17:00:00+01:00,27908,61.12
2015-01-04 18:00:00+01:00,27577,71.98
2015-01-04 19:00:00+01:00,27418,74.64
2015-01-04 20:00:00+01:00,28604,75.38
2015-01-04 21:00:00+01:00,30346,76.49
2015-01-04 22:00:00+01:00,28190,73.83
2015-01-04 23:00:00+01:00,26270,69.51
2015-01-05 00:00:00+01:00,25069,70.77
2015-01-05 01:00:00+01:00,23390,64.89
2015-01-05 02:00:00+01:00,21988,60.91
2015-01-05 03:00:00+01:00,21182,59.68
2015-01-05 04:00:00+01:00,20778,58.04
2015-01-05 05:00:00+01:00,20309,59.57
2015-01-05 06:00:00+01:00,20252,69.73
2015-01-05 07:00:00+01:00,19964,72.97
2015-01-05 08:00:00+01:00,20796,77.92
2015-01-05 09:00:00+01:00,22478,79.59
2015-01-05 10:00:00+01:00,23834,81.75
2015-01-05 11:00:00+01:00,24429,80.82
2015-01-05 12:00:00+01:00,,79.14
2015-01-05 13:00:00+01:00,,73.95
2015-01-05 14:00:00+01:00,,71.93
2015-01-05 15:00:00+01:00,,71.5
2015-01-05 16:00:00+01:00,,71.85
2015-01-05 17:00:00+01:00,,80.53
2015-01-05 18:00:00+01:00,21888,89.08
2015-01-05 19:00:00+01:00,22048,90.97
2015-01-05 20:00:00+01:00,22858,88.51
2015-01-05 21:00:00+01:00,25604,82.85
2015-01-05 22:00:00+01:00,25381,80.52
2015-01-05 23:00:00+01:00,23822,72.18
2015-01-06 00:00:00+01:00,23711,71.48
2015-01-06 01:00:00+01:00,22354,64.76
2015-01-06 02:00:00+01:00,21546,60.22
2015-01-06 03:00:00+01:00,21171,57.14
2015-01-06 04:00:00+01:00,21042,53.94
2015-01-06 05:00:00+01:00,21618,53.43
2015-01-06 06:00:00+01:00,23433,56.68
2015-01-06 07:00:00+01:00,25885,63.49
2015-01-06 08:00:00+01:00,28456,66.75
2015-01-06 09:00:00+01:00,29708,73.07
2015-01-06 10:00:00+01:00,30887,78.95
2015-01-06 11:00:00+01:00,31409,75.91
2015-01-06 12:00:00+01:00,31947,73.12
2015-01-06 13:00:00+01:00,32078,68.02
2015-01-06 14:00:00+01:00,31193,66.67
2015-01-06 15:00:00+01:00,30542,65.08
2015-01-06 16:00:00+01:00,30591,66.1
2015-01-06 17:00:00+01:00,30799,72
2015-01-06 18:00:00+01:00,30481,78.6
2015-01-06 19:00:00+01:00,30147,81.18
2015-01-06 20:00:00+01:00,30120,81.65
