genre,artist_name,loudness,tempo,time_signature
classic pop and rock,Belbury Poly,-6.346,125.027,4
classic pop and rock,Belbury Poly,-9.905,108.004,4
classic pop and rock,Belbury Poly,-8.785,113.359,4
classic pop and rock,Belbury Poly,-12.913,113.01,4
classic pop and rock,Belbury Poly,-12.458,86.475,3
classic pop and rock,Belbury Poly,-10.351,117.995,3
classic pop and rock,Belbury Poly,-8.345,100.002,4
classic pop and rock,Belbury Poly,-18.189,243.965,4
classic pop and rock,Belbury Poly,-18.184,101.529,4
classic pop and rock,Belbury Poly,-12.797,155.925,4
classic pop and rock,Belbury Poly,-12.381,126.571,4
classic pop and rock,Belbury Poly,-9.396,173.991,5
classic pop and rock,Belbury Poly,-16.47,122.988,4
classic pop and rock,Belbury Poly,-9.676,111.986,4
classic pop and rock,Belbury Poly,-15.749,72.419,4
classic pop and rock,Belbury Poly,-10.913,119.341,4
classic pop and rock,Belbury Poly,-20.148,139.383,3
classic pop and rock,Belbury Poly,-12.8,115.01,4
classic pop and rock,Belbury Poly,-15.013,199.765,7
classic pop and rock,Belbury Poly,-8.583,99.944,4
classic pop and rock,Belbury Poly,-11.8,154.163,4
classic pop and rock,Belbury Poly,-15.03,155.626,4
classic pop and rock,Belbury Poly,-15.587,170.119,1
classic pop and rock,Belbury Poly,-8.864,146.649,4
classic pop and rock,Belbury Poly,-13.223,170.095,3
classic pop and rock,Belbury Poly,-20.24,104.48,3
classic pop and rock,Belbury Poly,-10.426,190.201,4
classic pop and rock,Belbury Poly,-13.356,121.55,4
classic pop and rock,The Stooges,-34.88,169.801,3
classic pop and rock,The Stooges,-6.311,109.541,4
classic pop and rock,The Stooges,-7.343,127.715,4
classic pop and rock,The Stooges,-34.839,162.13,1
classic pop and rock,The Stooges,-18.797,86.195,4
classic pop and rock,The Stooges,-9.974,99.287,3
classic pop and rock,The Stooges,-7.785,89.931,1
classic pop and rock,The Stooges,-6.128,133.059,1
classic pop and rock,The Stooges,-5.626,110.77,4
classic pop and rock,The Stooges,-5.691,91.606,5
classic pop and rock,The Stooges,-23.45,56.854,1
classic pop and rock,The Stooges,-7.621,132.606,1
classic pop and rock,The Stooges,-34.539,134.75,4
classic pop and rock,The Stooges,-23.756,70.613,4
classic pop and rock,The Stooges,-6.28,87.859,1
classic pop and rock,The Stooges,-3.587,111.276,4
classic pop and rock,The Stooges,-6.517,87.07,4
classic pop and rock,The Stooges,-9.513,129.453,1
classic pop and rock,The Stooges,-19.919,69.473,1
classic pop and rock,The Stooges,-6.063,88.242,1
classic pop and rock,The Stooges,-6.69,88.125,1
classic pop and rock,The Stooges,-4.193,132.714,1
classic pop and rock,The Stooges,-26.511,78.724,1
classic pop and rock,The Stooges,-8.03,144.464,1
classic pop and rock,The Stooges,-7.797,130.21,4
classic pop and rock,The Stooges,-6.969,126.641,4
classic pop and rock,The Stooges,-19.585,67.03,4
classic pop and rock,The Stooges,-22.115,100.353,3
classic pop and rock,The Stooges,-10.77,26.663,4
classic pop and rock,The Stooges,-6.862,132.595,1
classic pop and rock,The Stooges,-6.503,88.74,3
classic pop and rock,The Stooges,-6.445,74.742,1
classic pop and rock,The Stooges,-4.03,89.947,1
classic pop and rock,The Stooges,-6.194,131.346,1
classic pop and rock,The Stooges,-5.156,111.506,4
classic pop and rock,The Stooges,-15.892,63.227,1
classic pop and rock,The Stooges,-7.694,70.237,1
classic pop and rock,The Stooges,-5.494,112.544,4
classic pop and rock,The Stooges,-32.22,118.711,4
classic pop and rock,The Stooges,-33.996,99.173,1
classic pop and rock,The Stooges,-5.987,87.727,1
classic pop and rock,The Stooges,-19.604,75.505,1
